rank,score,label
1,0.0,0
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,0
11,0.0,0
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,0.0,0
21,0.0,0
22,0.012725830078125,0
23,0.01306915283203125,0
24,0.01312255859375,0
25,0.01332855224609375,0
26,0.01406097412109375,0
27,0.0141754150390625,0
28,0.0142822265625,0
29,0.01450347900390625,0
30,0.01467132568359375,0
31,0.0147857666015625,0
32,0.0147857666015625,0
33,0.0147857666015625,0
34,0.0150146484375,0
35,0.01512908935546875,0
36,0.0153045654296875,0
37,0.0153045654296875,0
38,0.0153656005859375,1
39,0.01554107666015625,0
40,0.0156707763671875,0
41,0.015716552734375,0
42,0.015777587890625,0
43,0.015777587890625,0
44,0.015838623046875,0
45,0.015838623046875,0
46,0.0162811279296875,0
47,0.0162811279296875,0
48,0.0162811279296875,0
49,0.0164031982421875,0
50,0.0164031982421875,0
