rank,score,label
1,0.9697265625,1
2,0.96923828125,1
3,0.96923828125,1
4,0.96875,1
5,0.96875,0
6,0.96826171875,1
7,0.9677734375,1
8,0.96728515625,1
9,0.96728515625,1
10,0.966796875,1
11,0.966796875,1
12,0.966796875,0
13,0.966796875,1
14,0.966796875,1
15,0.96630859375,0
16,0.96630859375,1
17,0.96630859375,1
18,0.96630859375,1
19,0.96630859375,1
20,0.9658203125,0
21,0.9658203125,1
22,0.96533203125,1
23,0.96533203125,0
24,0.96533203125,0
25,0.96484375,1
26,0.96435546875,1
27,0.96435546875,1
28,0.96435546875,1
29,0.9638671875,1
30,0.9638671875,1
31,0.9638671875,1
32,0.9638671875,1
33,0.96337890625,1
34,0.96337890625,1
35,0.96337890625,1
36,0.96337890625,1
37,0.96337890625,1
38,0.96337890625,0
39,0.962890625,1
40,0.962890625,1
41,0.962890625,1
42,0.96240234375,1
43,0.96240234375,1
44,0.9619140625,1
45,0.9619140625,1
46,0.96142578125,1
47,0.96142578125,1
48,0.9609375,1
49,0.9609375,1
50,0.96044921875,1
