rank,score,label
1,0.9697265625,1
2,0.96826171875,1
3,0.966796875,1
4,0.96630859375,1
5,0.9658203125,0
6,0.96533203125,1
7,0.96484375,1
8,0.96435546875,1
9,0.96435546875,0
10,0.96337890625,0
11,0.96240234375,1
12,0.96142578125,1
13,0.9609375,1
14,0.96044921875,1
15,0.958984375,0
16,0.95751953125,0
17,0.95703125,0
18,0.95703125,0
19,0.95654296875,0
20,0.9560546875,1
21,0.95556640625,1
22,0.95556640625,0
23,0.95458984375,0
24,0.95458984375,0
25,0.9541015625,0
26,0.9541015625,0
27,0.9541015625,1
28,0.95361328125,1
29,0.95361328125,0
30,0.953125,1
31,0.95263671875,0
32,0.95263671875,1
33,0.95263671875,0
34,0.95263671875,1
35,0.95263671875,0
36,0.9521484375,1
37,0.9521484375,1
38,0.95166015625,0
39,0.95166015625,0
40,0.951171875,0
41,0.951171875,0
42,0.95068359375,0
43,0.95068359375,0
44,0.9501953125,1
45,0.9501953125,1
46,0.9501953125,0
47,0.94970703125,1
48,0.94970703125,0
49,0.94970703125,1
50,0.94921875,0
