rank,score,label
1,0.974609375,0
2,0.97216796875,1
3,0.97119140625,0
4,0.97119140625,0
5,0.970703125,1
6,0.970703125,0
7,0.970703125,0
8,0.970703125,0
9,0.97021484375,0
10,0.97021484375,0
11,0.97021484375,0
12,0.97021484375,1
13,0.9697265625,1
14,0.9697265625,0
15,0.9697265625,0
16,0.9697265625,0
17,0.96923828125,0
18,0.96923828125,1
19,0.96923828125,0
20,0.96923828125,1
21,0.96923828125,0
22,0.96875,0
23,0.96875,0
24,0.96875,1
25,0.96875,0
26,0.96826171875,1
27,0.96826171875,0
28,0.96826171875,0
29,0.96826171875,1
30,0.96826171875,0
31,0.96826171875,0
32,0.96826171875,0
33,0.9677734375,1
34,0.9677734375,1
35,0.9677734375,1
36,0.9677734375,1
37,0.9677734375,1
38,0.9677734375,1
39,0.9677734375,0
40,0.9677734375,0
41,0.9677734375,0
42,0.96728515625,0
43,0.96728515625,0
44,0.96728515625,1
45,0.966796875,1
46,0.966796875,1
47,0.966796875,1
48,0.966796875,1
49,0.966796875,0
50,0.966796875,0
